block	mhab	sow	add	excl	germ	s.unk	s.herb	s.path	sdl.unk	sdl.herb	sdl.path	sdl.surv	pemerg	M1	M2	M3	p1	p2	p3	M4	M5	M6	psurv	p4	p5	p6	precr
K2	B	7	C	E	5	0	2	0	0	3	0	2	0.71	0.00	0.29	0.00	1.00	0.71	1.00	0.00	0.60	0.00	0.40	1.00	0.40	1.00	0.29
M2	B	7	C	E	4	1	0	2	0	0	0	4	0.57	0.14	0.00	0.29	0.86	1.00	0.71	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.57
N2	B	7	C	E	5	2	0	0	0	1	0	4	0.71	0.29	0.00	0.00	0.71	1.00	1.00	0.00	0.20	0.00	0.80	1.00	0.80	1.00	0.57
O2	B	7	C	E	5	1	0	1	0	1	0	4	0.71	0.14	0.00	0.14	0.86	1.00	0.86	0.00	0.20	0.00	0.80	1.00	0.80	1.00	0.57
K3	B	7	C	E	4	1	1	1	0	0	1	3	0.57	0.14	0.14	0.14	0.86	0.86	0.86	0.00	0.00	0.25	0.75	1.00	1.00	0.75	0.43
K5	B	7	C	E	4	0	0	3	0	0	1	3	0.57	0.00	0.00	0.43	1.00	1.00	0.57	0.00	0.00	0.25	0.75	1.00	1.00	0.75	0.43
K3	B	7	C	E	5	0	0	2	0	0	0	5	0.71	0.00	0.00	0.29	1.00	1.00	0.71	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.71
K2-K3	B	7	C	E	4	0	1	2	1	0	0	3	0.57	0.00	0.14	0.29	1.00	0.86	0.71	0.25	0.00	0.00	0.75	0.75	1.00	1.00	0.43
K6	B	7	C	E	2	0	0	5	0	0	0	2	0.29	0.00	0.00	0.71	1.00	1.00	0.29	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.29
M9	B	7	C	E	5	1	0	1	0	0	0	5	0.71	0.14	0.00	0.14	0.86	1.00	0.86	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.71
F1	B	21	A	E	13	1	1	6	3	5	0	5	0.62	0.05	0.00	0.29	0.95	1.00	0.71	0.23	0.38	0.00	0.38	0.77	0.62	1.00	0.24
G1	B	21	A	E	14	5	0	2	0	4	0	10	0.67	0.24	0.00	0.10	0.76	1.00	0.90	0.00	0.29	0.00	0.71	1.00	0.71	1.00	0.48
H2	B	21	A	E	17	0	1	3	1	5	2	9	0.81	0.00	0.00	0.14	1.00	1.00	0.86	0.06	0.29	0.12	0.53	0.94	0.71	0.88	0.43
E11	B	21	A	E	12	0	0	9	2	8	0	2	0.57	0.00	0.00	0.43	1.00	1.00	0.57	0.17	0.67	0.00	0.17	0.83	0.33	1.00	0.10
E14	B	21	A	E	14	0	3	4	0	1	2	11	0.67	0.00	0.00	0.19	1.00	1.00	0.81	0.00	0.07	0.14	0.79	1.00	0.93	0.86	0.52
D14	B	21	A	E	15	0	3	3	0	7	3	5	0.71	0.00	0.00	0.14	1.00	1.00	0.86	0.00	0.47	0.20	0.33	1.00	0.53	0.80	0.24
G10	B	21	A	E	7	1	4	9	0	1	3	3	0.33	0.05	0.01	0.43	0.95	0.99	0.57	0.00	0.14	0.43	0.43	1.00	0.86	0.57	0.14
H9	B	21	A	E	8	1	5	7	0	1	3	4	0.38	0.05	0.01	0.33	0.95	0.99	0.67	0.00	0.13	0.38	0.50	1.00	0.88	0.63	0.19
I11	B	21	A	E	14	2	1	4	0	1	0	13	0.67	0.10	0.00	0.19	0.90	1.00	0.81	0.00	0.07	0.00	0.93	1.00	0.93	1.00	0.62
I11	B	21	A	E	12	0	4	5	0	1	1	10	0.57	0.00	0.01	0.24	1.00	0.99	0.76	0.00	0.08	0.08	0.83	1.00	0.92	0.92	0.48
K2	B	21	A	E	17	0	2	2	0	4	6	7	0.81	0.00	0.00	0.10	1.00	1.00	0.90	0.00	0.24	0.35	0.41	1.00	0.76	0.65	0.33
M2	B	21	A	E	17	2	0	2	1	1	0	15	0.81	0.10	0.00	0.10	0.90	1.00	0.90	0.06	0.06	0.00	0.88	0.94	0.94	1.00	0.71
N2	B	21	A	E	20	0	1	0	0	0	3	17	0.95	0.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.15	0.85	1.00	1.00	0.85	0.81
O2	B	21	A	E	12	0	9	0	0	2	5	5	0.57	0.00	0.01	0.00	1.00	0.99	1.00	0.00	0.17	0.42	0.42	1.00	0.83	0.58	0.24
K3	B	21	A	E	16	0	1	4	0	5	0	11	0.76	0.00	0.00	0.19	1.00	1.00	0.81	0.00	0.31	0.00	0.69	1.00	0.69	1.00	0.52
K5	B	21	A	E	15	0	0	6	0	10	4	1	0.71	0.00	0.00	0.29	1.00	1.00	0.71	0.00	0.67	0.27	0.07	1.00	0.33	0.73	0.05
K3	B	21	A	E	11	0	2	8	0	4	2	5	0.52	0.00	0.00	0.38	1.00	1.00	0.62	0.00	0.36	0.18	0.45	1.00	0.64	0.82	0.24
K2-K3	B	21	A	E	14	0	2	5	0	2	7	5	0.67	0.00	0.00	0.24	1.00	1.00	0.76	0.00	0.14	0.50	0.36	1.00	0.86	0.50	0.24
K6	B	21	A	E	11	4	1	5	0	6	1	4	0.52	0.19	0.00	0.24	0.81	1.00	0.76	0.00	0.55	0.09	0.36	1.00	0.45	0.91	0.19
M9	B	21	A	E	11	4	3	3	0	3	0	8	0.52	0.19	0.00	0.14	0.81	1.00	0.86	0.00	0.27	0.00	0.73	1.00	0.73	1.00	0.38
C0	SB	4	C	O	0	4	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
D4	SB	4	C	O	1	3	0	0	0	1	0	0	0.25	0.75	0.00	0.00	0.25	1.00	1.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00
B5	SB	4	C	O	0	4	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
C5	SB	4	C	O	0	4	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
D5	SB	4	C	O	0	4	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
C2	SB	4	C	O	0	4	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
B3	SB	4	C	O	0	4	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
C4	SB	4	C	O	1	2	0	1	1	0	0	0	0.25	0.50	0.00	0.25	0.50	1.00	0.75	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
D1	SB	4	C	O	0	4	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
I2	SB	4	C	O	1	3	0	0	1	0	0	0	0.25	0.75	0.00	0.00	0.25	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
E1	SB	4	C	O	0	4	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
E3	SB	4	C	O	0	4	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
G4	SB	4	C	O	1	3	0	0	0	1	0	0	0.25	0.75	0.00	0.00	0.25	1.00	1.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00
B10	SB	4	C	O	1	3	0	0	0	1	0	0	0.25	0.75	0.00	0.00	0.25	1.00	1.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00
C11	SB	4	C	O	2	2	0	0	1	1	0	0	0.50	0.50	0.00	0.00	0.50	1.00	1.00	0.50	0.50	0.00	0.00	0.50	0.50	1.00	0.00
D10	SB	4	C	O	1	1	1	1	0	1	0	0	0.25	0.25	0.00	0.25	0.75	1.00	0.75	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00
K7	SB	4	C	O	4	0	0	0	2	0	1	1	1.00	0.00	0.00	0.00	1.00	1.00	1.00	0.50	0.00	0.25	0.25	0.50	1.00	0.75	0.25
L7	SB	4	C	O	1	1	0	2	0	1	0	0	0.25	0.25	0.00	0.50	0.75	1.00	0.50	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00
M8	SB	4	C	O	0	4	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
B6	SB	4	C	O	0	4	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
C0	SB	12	A	O	0	12	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
D4	SB	12	A	O	0	12	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
B5	SB	12	A	O	0	12	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
C5	SB	12	A	O	0	12	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
D5	SB	12	A	O	0	12	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
C2	SB	12	A	O	1	11	0	0	1	0	0	0	0.08	0.92	0.00	0.00	0.08	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
B3	SB	12	A	O	0	12	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
C4	SB	12	A	O	7	5	0	0	7	0	0	0	0.58	0.42	0.00	0.00	0.58	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
D1	SB	12	A	O	3	9	0	0	0	2	0	1	0.25	0.75	0.00	0.00	0.25	1.00	1.00	0.00	0.67	0.00	0.33	1.00	0.33	1.00	0.08
I2	SB	12	A	O	2	10	0	0	2	0	0	0	0.17	0.83	0.00	0.00	0.17	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
E1	SB	12	A	O	0	12	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
E3	SB	12	A	O	0	12	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
G4	SB	12	A	O	3	9	0	0	3	0	0	0	0.25	0.75	0.00	0.00	0.25	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
B10	SB	12	A	O	0	11	1	0	0	0	0	0	0.00	0.92	0.08	0.00	0.08	0.92	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
C11	SB	12	A	O	9	1	2	0	8	0	0	1	0.75	0.08	0.17	0.00	0.92	0.83	1.00	0.89	0.00	0.00	0.11	0.11	1.00	1.00	0.08
D10	SB	12	A	O	7	1	3	1	1	2	4	0	0.58	0.08	0.25	0.08	0.92	0.75	0.92	0.14	0.29	0.57	0.00	0.86	0.71	0.43	0.00
K7	SB	12	A	O	9	0	2	1	0	4	0	5	0.75	0.00	0.17	0.08	1.00	0.83	0.92	0.00	0.44	0.00	0.56	1.00	0.56	1.00	0.42
L7	SB	12	A	O	8	2	1	1	1	7	0	0	0.67	0.17	0.08	0.08	0.83	0.92	0.92	0.13	0.88	0.00	0.00	0.88	0.13	1.00	0.00
M8	SB	12	A	O	2	10	0	0	0	2	0	0	0.17	0.83	0.00	0.00	0.17	1.00	1.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00
B6	SB	12	A	O	1	11	0	0	1	0	0	0	0.08	0.92	0.00	0.00	0.08	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
C0	SB	4	C	E	1	2	0	1	0	0	0	1	0.25	0.50	0.00	0.25	0.50	1.00	0.75	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.25
D4	SB	4	C	E	3	1	0	0	0	0	0	3	0.75	0.25	0.00	0.00	0.75	1.00	1.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.75
B5	SB	4	C	E	4	0	0	0	0	2	1	1	1.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	0.50	0.25	0.25	1.00	0.50	0.75	0.25
C5	SB	4	C	E	3	0	0	1	0	0	0	3	0.75	0.00	0.00	0.25	1.00	1.00	0.75	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.75
D5	SB	4	C	E	4	0	0	0	0	1	0	3	1.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	0.25	0.00	0.75	1.00	0.75	1.00	0.75
C2	SB	4	C	E	3	0	1	0	0	1	1	1	0.75	0.00	0.25	0.00	1.00	0.75	1.00	0.00	0.33	0.33	0.33	1.00	0.67	0.67	0.25
B3	SB	4	C	E	1	1	0	2	0	0	0	1	0.25	0.25	0.00	0.50	0.75	1.00	0.50	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.25
C4	SB	4	C	E	4	0	0	0	0	0	0	4	1.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00
D1	SB	4	C	E	4	0	0	0	0	4	0	0	1.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00
I2	SB	4	C	E	3	0	0	1	0	0	0	3	0.75	0.00	0.00	0.25	1.00	1.00	0.75	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.75
E1	SB	4	C	E	2	0	0	2	0	0	0	2	0.50	0.00	0.00	0.50	1.00	1.00	0.50	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.50
E3	SB	4	C	E	4	0	0	0	0	0	0	4	1.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00
G4	SB	4	C	E	3	0	0	1	0	1	1	1	0.75	0.00	0.00	0.25	1.00	1.00	0.75	0.00	0.33	0.33	0.33	1.00	0.67	0.67	0.25
B10	SB	4	C	E	1	0	0	3	0	1	0	0	0.25	0.00	0.00	0.75	1.00	1.00	0.25	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00
C11	SB	4	C	E	1	0	0	3	0	0	0	1	0.25	0.00	0.00	0.75	1.00	1.00	0.25	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.25
D10	SB	4	C	E	2	0	0	2	0	1	0	1	0.50	0.00	0.00	0.50	1.00	1.00	0.50	0.00	0.50	0.00	0.50	1.00	0.50	1.00	0.25
K7	SB	4	C	E	3	0	0	1	0	0	0	3	0.75	0.00	0.00	0.25	1.00	1.00	0.75	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.75
L7	SB	4	C	E	4	0	0	0	0	1	0	3	1.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	0.25	0.00	0.75	1.00	0.75	1.00	0.75
M8	SB	4	C	E	2	0	0	2	0	1	1	0	0.50	0.00	0.00	0.50	1.00	1.00	0.50	0.00	0.50	0.50	0.00	1.00	0.50	0.50	0.00
B6	SB	4	C	E	0	4	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
C0	SB	12	A	E	5	2	2	3	0	0	0	5	0.42	0.17	0.17	0.25	0.83	0.83	0.75	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.42
D4	SB	12	A	E	8	1	1	2	1	1	0	6	0.67	0.08	0.08	0.17	0.92	0.92	0.83	0.13	0.13	0.00	0.75	0.88	0.88	1.00	0.50
B5	SB	12	A	E	7	1	1	3	0	1	0	6	0.58	0.08	0.08	0.25	0.92	0.92	0.75	0.00	0.14	0.00	0.86	1.00	0.86	1.00	0.50
C5	SB	12	A	E	9	1	0	2	1	4	0	4	0.75	0.08	0.00	0.17	0.92	1.00	0.83	0.11	0.44	0.00	0.44	0.89	0.56	1.00	0.33
D5	SB	12	A	E	12	0	0	0	0	1	1	10	1.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	0.08	0.08	0.83	1.00	0.92	0.92	0.83
C2	SB	12	A	E	8	0	0	4	0	3	4	1	0.67	0.00	0.00	0.33	1.00	1.00	0.67	0.00	0.38	0.50	0.13	1.00	0.63	0.50	0.08
B3	SB	12	A	E	7	1	0	4	0	1	0	6	0.58	0.08	0.00	0.33	0.92	1.00	0.67	0.00	0.14	0.00	0.86	1.00	0.86	1.00	0.50
C4	SB	12	A	E	6	0	1	5	0	0	0	6	0.50	0.00	0.08	0.42	1.00	0.92	0.58	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.50
D1	SB	12	A	E	10	1	1	0	0	2	1	7	0.83	0.08	0.08	0.00	0.92	0.92	1.00	0.00	0.20	0.10	0.70	1.00	0.80	0.90	0.58
I2	SB	12	A	E	8	1	0	3	0	1	0	7	0.67	0.08	0.00	0.25	0.92	1.00	0.75	0.00	0.13	0.00	0.88	1.00	0.88	1.00	0.58
E1	SB	12	A	E	5	3	0	4	0	3	0	2	0.42	0.25	0.00	0.33	0.75	1.00	0.67	0.00	0.60	0.00	0.40	1.00	0.40	1.00	0.17
E3	SB	12	A	E	7	0	2	3	0	1	0	6	0.58	0.00	0.17	0.25	1.00	0.83	0.75	0.00	0.14	0.00	0.86	1.00	0.86	1.00	0.50
G4	SB	12	A	E	9	0	3	0	0	3	1	5	0.75	0.00	0.25	0.00	1.00	0.75	1.00	0.00	0.33	0.11	0.56	1.00	0.67	0.89	0.42
B10	SB	12	A	E	7	0	1	4	0	2	0	5	0.58	0.00	0.08	0.33	1.00	0.92	0.67	0.00	0.29	0.00	0.71	1.00	0.71	1.00	0.42
C11	SB	12	A	E	6	0	4	2	0	0	2	4	0.50	0.00	0.33	0.17	1.00	0.67	0.83	0.00	0.00	0.33	0.67	1.00	1.00	0.67	0.33
D10	SB	12	A	E	4	0	1	7	0	1	0	3	0.33	0.00	0.08	0.58	1.00	0.92	0.42	0.00	0.25	0.00	0.75	1.00	0.75	1.00	0.25
K7	SB	12	A	E	6	2	1	3	0	1	0	5	0.50	0.17	0.08	0.25	0.83	0.92	0.75	0.00	0.17	0.00	0.83	1.00	0.83	1.00	0.42
L7	SB	12	A	E	10	0	0	2	0	4	0	6	0.83	0.00	0.00	0.17	1.00	1.00	0.83	0.00	0.40	0.00	0.60	1.00	0.60	1.00	0.50
M8	SB	12	A	E	6	0	1	5	0	4	1	1	0.50	0.00	0.08	0.42	1.00	0.92	0.58	0.00	0.67	0.17	0.17	1.00	0.33	0.83	0.08
