block	mhab	sow	add	excl	germ	s.unk	s.herb	sdl.unk	sdl.herb	sdl.surv	pemerg	M1	M2	p1	p2	M3	M4	p3	p4	precr
K5	B	2	C	O	1	0	1	1	0	0	0.50	0.00	0.50	1.00	0.50	0.50	0.00	0.50	1.00	0.00
K3	B	2	C	O	0	2	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
K2-K3	B	2	C	O	0	1	1	0	0	0	0.00	0.50	0.50	0.50	0.50	0.00	0.00	1.00	1.00	0.00
K6	B	2	C	O	0	1	1	0	0	0	0.00	0.50	0.50	0.50	0.50	0.00	0.00	1.00	1.00	0.00
M9	B	2	C	O	1	1	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
F1	B	4	A	O	1	3	0	1	0	0	0.25	0.75	0.00	0.25	1.00	0.25	0.00	0.75	1.00	0.00
G1	B	4	A	O	1	3	0	1	0	0	0.25	0.75	0.00	0.25	1.00	0.25	0.00	0.75	1.00	0.00
H2	B	4	A	O	2	2	0	2	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
E11	B	4	A	O	2	2	0	2	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
E14	B	4	A	O	1	2	1	1	0	0	0.25	0.50	0.25	0.50	0.75	0.25	0.00	0.75	1.00	0.00
D14	B	4	A	O	2	2	0	1	1	0	0.50	0.50	0.00	0.50	1.00	0.25	0.25	0.75	0.75	0.00
G10	B	4	A	O	2	1	1	1	1	0	0.50	0.25	0.25	0.75	0.75	0.25	0.25	0.75	0.75	0.00
H9	B	4	A	O	1	1	2	1	0	0	0.25	0.25	0.50	0.75	0.50	0.25	0.00	0.75	1.00	0.00
I11	B	4	A	O	2	0	2	2	0	0	0.50	0.00	0.50	1.00	0.50	0.50	0.00	0.50	1.00	0.00
I11	B	4	A	O	1	0	3	0	1	0	0.25	0.00	0.75	1.00	0.25	0.00	0.25	1.00	0.75	0.00
K2	B	4	A	O	2	2	0	2	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
M2	B	4	A	O	2	1	1	0	2	0	0.50	0.25	0.25	0.75	0.75	0.00	0.50	1.00	0.50	0.00
N2	B	4	A	O	2	1	1	2	0	0	0.50	0.25	0.25	0.75	0.75	0.50	0.00	0.50	1.00	0.00
O2	B	4	A	O	3	0	1	2	1	0	0.75	0.00	0.25	1.00	0.75	0.50	0.25	0.50	0.75	0.00
K3	B	4	A	O	2	1	1	1	1	0	0.50	0.25	0.25	0.75	0.75	0.25	0.25	0.75	0.75	0.00
K5	B	4	A	O	2	1	1	1	1	0	0.50	0.25	0.25	0.75	0.75	0.25	0.25	0.75	0.75	0.00
K3	B	4	A	O	0	4	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
K2-K3	B	4	A	O	2	2	0	2	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
K6	B	4	A	O	1	2	1	0	1	0	0.25	0.50	0.25	0.50	0.75	0.00	0.25	1.00	0.75	0.00
M9	B	4	A	O	3	1	0	1	2	0	0.75	0.25	0.00	0.75	1.00	0.25	0.50	0.75	0.50	0.00
F1	B	2	C	E	1	0	1	0	0	1	0.50	0.00	0.50	1.00	0.50	0.00	0.00	1.00	1.00	0.50
G1	B	2	C	E	1	0	1	1	0	0	0.50	0.00	0.50	1.00	0.50	0.50	0.00	0.50	1.00	0.00
H2	B	2	C	E	2	0	0	0	0	2	1.00	0.00	0.00	1.00	1.00	0.00	0.00	1.00	1.00	1.00
E11	B	2	C	E	1	0	1	0	1	0	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.50	0.00
E14	B	2	C	E	2	0	0	0	1	1	1.00	0.00	0.00	1.00	1.00	0.00	0.50	1.00	0.50	0.50
D14	B	2	C	E	2	0	0	2	0	0	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00
G10	B	2	C	E	1	0	1	1	0	0	0.50	0.00	0.50	1.00	0.50	0.50	0.00	0.50	1.00	0.00
H9	B	2	C	E	1	0	1	0	0	1	0.50	0.00	0.50	1.00	0.50	0.00	0.00	1.00	1.00	0.50
I11	B	2	C	E	2	0	0	0	1	1	1.00	0.00	0.00	1.00	1.00	0.00	0.50	1.00	0.50	0.50
I11	B	2	C	E	1	0	1	0	1	0	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.50	0.00
K2	B	2	C	E	1	1	0	0	1	0	0.50	0.50	0.00	0.50	1.00	0.00	0.50	1.00	0.50	0.00
M2	B	2	C	E	1	1	0	0	1	0	0.50	0.50	0.00	0.50	1.00	0.00	0.50	1.00	0.50	0.00
N2	B	2	C	E	2	0	0	1	0	1	1.00	0.00	0.00	1.00	1.00	0.50	0.00	0.50	1.00	0.50
O2	B	2	C	E	1	0	1	0	0	1	0.50	0.00	0.50	1.00	0.50	0.00	0.00	1.00	1.00	0.50
K3	B	2	C	E	2	0	0	0	0	2	1.00	0.00	0.00	1.00	1.00	0.00	0.00	1.00	1.00	1.00
K5	B	2	C	E	1	0	1	0	1	0	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.50	0.00
K3	B	2	C	E	1	0	1	1	0	0	0.50	0.00	0.50	1.00	0.50	0.50	0.00	0.50	1.00	0.00
K2-K3	B	2	C	E	1	0	1	1	0	0	0.50	0.00	0.50	1.00	0.50	0.50	0.00	0.50	1.00	0.00
K6	B	2	C	E	1	0	1	1	0	0	0.50	0.00	0.50	1.00	0.50	0.50	0.00	0.50	1.00	0.00
M9	B	2	C	E	1	0	1	0	1	0	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.50	0.00
F1	B	4	A	E	2	0	2	0	1	1	0.50	0.00	0.50	1.00	0.50	0.00	0.25	1.00	0.75	0.25
G1	B	4	A	E	1	0	3	1	0	0	0.25	0.00	0.75	1.00	0.25	0.25	0.00	0.75	1.00	0.00
H2	B	4	A	E	1	3	0	0	0	1	0.25	0.75	0.00	0.25	1.00	0.00	0.00	1.00	1.00	0.25
E11	B	4	A	E	4	0	0	1	1	2	1.00	0.00	0.00	1.00	1.00	0.25	0.25	0.75	0.75	0.50
E14	B	4	A	E	2	0	2	0	0	2	0.50	0.00	0.50	1.00	0.50	0.00	0.00	1.00	1.00	0.50
D14	B	4	A	E	2	1	1	1	1	0	0.50	0.25	0.25	0.75	0.75	0.25	0.25	0.75	0.75	0.00
G10	B	4	A	E	1	0	3	1	0	0	0.25	0.00	0.75	1.00	0.25	0.25	0.00	0.75	1.00	0.00
H9	B	4	A	E	1	0	3	0	0	1	0.25	0.00	0.75	1.00	0.25	0.00	0.00	1.00	1.00	0.25
I11	B	4	A	E	3	0	1	0	0	3	0.75	0.00	0.25	1.00	0.75	0.00	0.00	1.00	1.00	0.75
I11	B	4	A	E	1	0	3	0	0	1	0.25	0.00	0.75	1.00	0.25	0.00	0.00	1.00	1.00	0.25
K2	B	4	A	E	2	1	1	0	1	1	0.50	0.25	0.25	0.75	0.75	0.00	0.25	1.00	0.75	0.25
M2	B	4	A	E	0	0	4	0	0	0	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	0.00
N2	B	4	A	E	1	0	3	0	1	0	0.25	0.00	0.75	1.00	0.25	0.00	0.25	1.00	0.75	0.00
O2	B	4	A	E	1	1	2	1	0	0	0.25	0.25	0.50	0.75	0.50	0.25	0.00	0.75	1.00	0.00
K3	B	4	A	E	3	0	1	3	0	0	0.75	0.00	0.25	1.00	0.75	0.75	0.00	0.25	1.00	0.00
K5	B	4	A	E	2	0	2	0	2	0	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.50	0.00
K3	B	4	A	E	3	0	1	3	0	0	0.75	0.00	0.25	1.00	0.75	0.75	0.00	0.25	1.00	0.00
K2-K3	B	4	A	E	1	0	3	0	1	0	0.25	0.00	0.75	1.00	0.25	0.00	0.25	1.00	0.75	0.00
K6	B	4	A	E	3	0	1	3	0	0	0.75	0.00	0.25	1.00	0.75	0.75	0.00	0.25	1.00	0.00
M9	B	4	A	E	3	0	1	1	1	1	0.75	0.00	0.25	1.00	0.75	0.25	0.25	0.75	0.75	0.25
C0	SB	2	C	O	0	2	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
D4	SB	2	C	O	1	1	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
B5	SB	2	C	O	1	1	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
C5	SB	2	C	O	1	1	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
D5	SB	2	C	O	1	1	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
C2	SB	2	C	O	0	2	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
B3	SB	2	C	O	0	2	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
C4	SB	2	C	O	0	2	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
D1	SB	2	C	O	1	1	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
I2	SB	2	C	O	0	2	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
E1	SB	2	C	O	0	2	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
E3	SB	2	C	O	0	2	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
G4	SB	2	C	O	1	1	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
B10	SB	2	C	O	1	1	0	0	1	0	0.50	0.50	0.00	0.50	1.00	0.00	0.50	1.00	0.50	0.00
C11	SB	2	C	O	2	0	0	0	2	0	1.00	0.00	0.00	1.00	1.00	0.00	1.00	1.00	0.00	0.00
D10	SB	2	C	O	0	2	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
K7	SB	2	C	O	0	1	1	0	0	0	0.00	0.50	0.50	0.50	0.50	0.00	0.00	1.00	1.00	0.00
L7	SB	2	C	O	1	1	0	0	1	0	0.50	0.50	0.00	0.50	1.00	0.00	0.50	1.00	0.50	0.00
M8	SB	2	C	O	1	1	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
B6	SB	2	C	O	1	1	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
C0	SB	4	A	O	2	1	1	2	0	0	0.50	0.25	0.25	0.75	0.75	0.50	0.00	0.50	1.00	0.00
D4	SB	4	A	O	0	4	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
B5	SB	4	A	O	0	4	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
C5	SB	4	A	O	2	2	0	2	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
D5	SB	4	A	O	0	4	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
C2	SB	4	A	O	0	4	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
B3	SB	4	A	O	0	4	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
C4	SB	4	A	O	0	4	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
D1	SB	4	A	O	0	2	2	0	0	0	0.00	0.50	0.50	0.50	0.50	0.00	0.00	1.00	1.00	0.00
I2	SB	4	A	O	0	4	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
E1	SB	4	A	O	1	3	0	1	0	0	0.25	0.75	0.00	0.25	1.00	0.25	0.00	0.75	1.00	0.00
E3	SB	4	A	O	1	3	0	0	1	0	0.25	0.75	0.00	0.25	1.00	0.00	0.25	1.00	0.75	0.00
G4	SB	4	A	O	1	3	0	1	0	0	0.25	0.75	0.00	0.25	1.00	0.25	0.00	0.75	1.00	0.00
B10	SB	4	A	O	0	4	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
C11	SB	4	A	O	1	3	0	1	0	0	0.25	0.75	0.00	0.25	1.00	0.25	0.00	0.75	1.00	0.00
D10	SB	4	A	O	2	1	1	2	0	0	0.50	0.25	0.25	0.75	0.75	0.50	0.00	0.50	1.00	0.00
K7	SB	4	A	O	1	3	0	1	0	0	0.25	0.75	0.00	0.25	1.00	0.25	0.00	0.75	1.00	0.00
L7	SB	4	A	O	2	2	0	1	1	0	0.50	0.50	0.00	0.50	1.00	0.25	0.25	0.75	0.75	0.00
M8	SB	4	A	O	1	1	2	1	0	0	0.25	0.25	0.50	0.75	0.50	0.25	0.00	0.75	1.00	0.00
B6	SB	4	A	O	2	2	0	2	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
C0	SB	2	C	E	1	0	1	1	0	0	0.50	0.00	0.50	1.00	0.50	0.50	0.00	0.50	1.00	0.00
D4	SB	2	C	E	1	1	0	0	0	1	0.50	0.50	0.00	0.50	1.00	0.00	0.00	1.00	1.00	0.50
B5	SB	2	C	E	1	0	1	0	1	0	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.50	0.00
C5	SB	2	C	E	2	0	0	0	0	2	1.00	0.00	0.00	1.00	1.00	0.00	0.00	1.00	1.00	1.00
D5	SB	2	C	E	1	0	1	1	0	0	0.50	0.00	0.50	1.00	0.50	0.50	0.00	0.50	1.00	0.00
C2	SB	2	C	E	0	1	1	0	0	0	0.00	0.50	0.50	0.50	0.50	0.00	0.00	1.00	1.00	0.00
B3	SB	2	C	E	1	1	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
C4	SB	2	C	E	1	0	1	0	1	0	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.50	0.00
D1	SB	2	C	E	0	0	2	0	0	0	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	0.00
I2	SB	2	C	E	0	0	2	0	0	0	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	0.00
E1	SB	2	C	E	0	1	1	0	0	0	0.00	0.50	0.50	0.50	0.50	0.00	0.00	1.00	1.00	0.00
E3	SB	2	C	E	1	0	1	1	0	0	0.50	0.00	0.50	1.00	0.50	0.50	0.00	0.50	1.00	0.00
G4	SB	2	C	E	2	0	0	0	2	0	1.00	0.00	0.00	1.00	1.00	0.00	1.00	1.00	0.00	0.00
B10	SB	2	C	E	1	1	0	0	1	0	0.50	0.50	0.00	0.50	1.00	0.00	0.50	1.00	0.50	0.00
C11	SB	2	C	E	1	0	1	0	1	0	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.50	0.00
D10	SB	2	C	E	0	0	2	0	0	0	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	0.00
K7	SB	2	C	E	0	1	1	0	0	0	0.00	0.50	0.50	0.50	0.50	0.00	0.00	1.00	1.00	0.00
L7	SB	2	C	E	1	1	0	0	1	0	0.50	0.50	0.00	0.50	1.00	0.00	0.50	1.00	0.50	0.00
M8	SB	2	C	E	0	0	2	0	0	0	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	0.00
B6	SB	2	C	E	1	0	1	0	0	1	0.50	0.00	0.50	1.00	0.50	0.00	0.00	1.00	1.00	0.50
C0	SB	4	A	E	1	2	1	1	0	0	0.25	0.50	0.25	0.50	0.75	0.25	0.00	0.75	1.00	0.00
D4	SB	4	A	E	2	1	1	0	0	2	0.50	0.25	0.25	0.75	0.75	0.00	0.00	1.00	1.00	0.50
B5	SB	4	A	E	3	0	1	1	0	2	0.75	0.00	0.25	1.00	0.75	0.25	0.00	0.75	1.00	0.50
C5	SB	4	A	E	2	1	1	2	0	0	0.50	0.25	0.25	0.75	0.75	0.50	0.00	0.50	1.00	0.00
D5	SB	4	A	E	2	1	1	1	1	0	0.50	0.25	0.25	0.75	0.75	0.25	0.25	0.75	0.75	0.00
C2	SB	4	A	E	3	0	1	0	1	2	0.75	0.00	0.25	1.00	0.75	0.00	0.25	1.00	0.75	0.50
B3	SB	4	A	E	2	2	0	2	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
C4	SB	4	A	E	0	0	4	0	0	0	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	0.00
D1	SB	4	A	E	1	0	3	1	0	0	0.25	0.00	0.75	1.00	0.25	0.25	0.00	0.75	1.00	0.00
I2	SB	4	A	E	0	4	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
E1	SB	4	A	E	0	3	1	0	0	0	0.00	0.75	0.25	0.25	0.75	0.00	0.00	1.00	1.00	0.00
E3	SB	4	A	E	2	0	2	0	0	2	0.50	0.00	0.50	1.00	0.50	0.00	0.00	1.00	1.00	0.50
G4	SB	4	A	E	2	0	2	0	2	0	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.50	0.00
B10	SB	4	A	E	2	1	1	0	2	0	0.50	0.25	0.25	0.75	0.75	0.00	0.50	1.00	0.50	0.00
C11	SB	4	A	E	2	0	2	0	2	0	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.50	0.00
D10	SB	4	A	E	1	1	2	1	0	0	0.25	0.25	0.50	0.75	0.50	0.25	0.00	0.75	1.00	0.00
K7	SB	4	A	E	3	0	1	0	2	1	0.75	0.00	0.25	1.00	0.75	0.00	0.50	1.00	0.50	0.25
L7	SB	4	A	E	2	0	2	0	1	1	0.50	0.00	0.50	1.00	0.50	0.00	0.25	1.00	0.75	0.25
M8	SB	4	A	E	2	0	2	0	2	0	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.50	0.00
B6	SB	4	A	E	3	0	1	0	1	2	0.75	0.00	0.25	1.00	0.75	0.00	0.25	1.00	0.75	0.50
